"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3531",434378,"Verlander, Justin","3531","100.0","0.221","0.148","0.272","0.370","0.285","0.314","0.240","170","768","87.4","16.4","2550","91.1","90.08","410","1740","1791","-1.0","5.82","109","154","114","147","298","327","294"
"3428",519242,"Sale, Chris","3428","100.0","0.208","0.141","0.303","0.349","0.260","0.251","0.193","165","794","86.7","14.9","2281","88.2","86.99","545","1717","1711","-1.2","5.82","110","150","112","147","288","325","287"
"3406",502042,"Archer, Chris","3406","100.0","0.246","0.161","0.325","0.407","0.306","0.296","0.232","193","784","89.3","12.4","2325","91.8","90.90","495","1632","1774","-0.9","5.79","115","151","114","146","299","326","297"
"3383",519144,"Porcello, Rick","3383","100.0","0.286","0.211","0.324","0.498","0.348","0.336","0.270","236","824","88.1","14.2","2416","86.7","85.93","354","1677","1705","-0.8","6.02","112","152","114","147","281","325","291"
"3364",461829,"González, Gio","3364","100.0","0.216","0.129","0.261","0.345","0.281","0.292","0.224","158","731","85.9","11.6","2232","84.8","84.20","314","1424","1940","-0.6","6.09","108","151","113","147","296","309","290"
"3357",592332,"Gausman, Kevin","3357","100.0","0.283","0.177","0.337","0.459","0.346","0.340","0.270","208","736","87.5","11.6","2115","91.1","90.42","403","1560","1797","-0.7","6.10","107","154","116","147","302","324","297"
"3298",543037,"Cole, Gerrit","3298","100.0","0.254","0.180","0.301","0.434","0.315","0.314","0.254","199","784","86.1","11.2","2201","91.9","91.11","333","1535","1760","-0.8","6.13","111","151","112","149","300","319","296"
"3273",502188,"Samardzija, Jeff","3273","100.0","0.255","0.192","0.305","0.447","0.309","0.300","0.247","204","801","87.3","12.3","2382","90.2","89.40","360","1608","1665","-0.8","5.95","112","149","109","148","290","315","298"
"3246",462136,"Estrada, Marco","3246","100.0","0.256","0.207","0.295","0.463","0.333","0.303","0.228","186","726","86.9","21.7","2333","84.7","82.72","386","1601","1645","-2.0","5.27","109","152","112","148","296","323","295"
"3235",429722,"Santana, Ervin","3235","100.0","0.225","0.167","0.247","0.392","0.291","0.297","0.233","177","786","85.9","16.0","2180","89.0","88.39","364","1568","1666","-0.6","5.96","107","148","111","148","291","314","290"
"3216",543699,"Roark, Tanner","3216","100.0","0.254","0.154","0.302","0.408","0.313","0.313","0.255","178","701","86.8","9.8","2164","87.8","86.94","345","1483","1732","-0.9","5.93","109","151","113","149","292","309","292"
"3176",500779,"Quintana, José","3176","100.0","0.238","0.158","0.301","0.396","0.301","0.307","0.242","170","715","87.4","11.8","2011","87.3","87.59","297","1395","1781","0.3","6.41","109","151","108","146","296","314","292"
"3168",594798,"deGrom, Jacob","3168","100.0","0.237","0.152","0.306","0.389","0.291","0.272","0.218","180","758","86.1","10.8","2316","91.5","92.87","460","1580","1588","1.4","7.00","114","150","112","147","288","308","294"
"3163",425844,"Greinke, Zack","3163","100.0","0.230","0.158","0.287","0.387","0.282","0.285","0.223","172","749","87.1","9.7","2360","86.3","85.41","422","1462","1701","-0.9","5.73","112","154","114","150","303","325","301"
"3151",458681,"Lynn, Lance","3151","100.0","0.223","0.172","0.248","0.395","0.305","0.313","0.232","151","676","86.5","12.1","2292","90.4","89.55","318","1416","1734","-0.9","5.76","112","148","109","147","291","318","298"
"3148",545333,"Bauer, Trevor","3148","100.0","0.266","0.179","0.338","0.446","0.332","0.318","0.249","181","680","89.3","9.7","2341","87.8","87.09","315","1327","1821","-0.7","5.91","107","151","111","149","286","314","292"
"3140",573186,"Stroman, Marcus","3140","100.0","0.264","0.129","0.310","0.392","0.310","0.312","0.261","201","762","88.7","0.6","2363","90.5","89.37","330","1398","1741","-1.1","5.61","109","151","111","148","295","321","294"
