"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3493",453286,"Scherzer, Max","3493","100.0","0.188","0.144","0.267","0.332","0.252","0.249","0.185","150","797","86.5","20.7","2302","89.4","88.43","604","1829","1664","-1.0","5.94","112","152","113","149","294","311","298"
"3427",434378,"Verlander, Justin","3427","100.0","0.200","0.160","0.274","0.360","0.259","0.237","0.184","156","781","88.0","21.6","2662","90.7","89.40","555","1754","1673","-1.3","5.79","110","153","116","152","288","316","291"
"3310",572971,"Keuchel, Dallas","3310","100.0","0.263","0.130","0.302","0.393","0.305","0.294","0.247","211","802","87.2","4.3","2038","85.6","85.26","295","1500","1810","-0.3","6.01","106","152","114","150","288","313","284"
"3306",448306,"Shields, James","3306","100.0","0.245","0.190","0.263","0.435","0.326","0.349","0.261","190","775","88.6","16.7","2217","84.7","85.46","364","1501","1801","0.8","6.63","109","151","110","148","293","313","292"
"3265",605182,"Clevinger, Mike","3265","100.0","0.223","0.142","0.280","0.365","0.288","0.281","0.212","164","737","87.2","14.6","2193","87.6","88.04","421","1516","1748","0.4","6.51","108","153","112","149","285","313","294"
"3257",543037,"Cole, Gerrit","3257","100.0","0.198","0.134","0.288","0.332","0.265","0.270","0.197","143","723","88.9","15.6","2470","91.9","91.31","498","1617","1640","-0.6","6.05","109","152","117","151","287","316","292"
"3250",607536,"Freeland, Kyle","3250","100.0","0.240","0.118","0.288","0.358","0.292","0.298","0.237","182","757","86.6","11.8","2116","88.5","88.99","320","1490","1760","0.5","6.35","110","151","113","144","301","321","301"
"3243",502043,"Gibson, Kyle","3243","100.0","0.241","0.143","0.286","0.385","0.306","0.316","0.249","177","733","87.7","7.6","2182","89.3","90.04","391","1465","1778","0.7","6.67","108","149","116","147","295","322","295"
"3212",425844,"Greinke, Zack","3212","100.0","0.231","0.159","0.273","0.390","0.286","0.302","0.244","181","784","88.0","10.4","2257","85.3","84.47","377","1456","1756","-0.8","5.74","111","152","112","151","302","329","302"
"3212",605400,"Nola, Aaron","3212","100.0","0.197","0.114","0.254","0.311","0.251","0.257","0.201","149","756","86.7","8.8","2115","86.4","86.77","420","1528","1684","0.4","6.52","107","156","113","148","294","323","292"
"3212",594798,"deGrom, Jacob","3212","100.0","0.196","0.081","0.283","0.277","0.230","0.231","0.190","152","776","85.5","10.7","2292","92.5","93.61","522","1686","1526","1.1","6.84","112","151","108","149","293","316","298"
"3181",446372,"Kluber, Corey","3181","100.0","0.223","0.144","0.277","0.367","0.270","0.269","0.221","179","801","87.7","11.4","2419","88.7","88.28","412","1534","1646","-0.4","5.94","109","152","112","149","284","312","295"
