"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1266",489334,"Stammen, Craig","1266","100.0","0.232","0.147","0.269","0.379","0.278","0.279","0.234","76","327","87.6","7.2","2264","88.1","88.63","141","592","674","0.5","6.68","115","154","133","144","298","322","310"
"1255",446372,"Kluber, Corey","1255","100.0","0.240","0.129","0.304","0.369","0.307","0.305","0.230","67","279","86.6","12.6","2262","86.5","86.41","166","582","673","-0.1","6.51","109","153","119","147","298","325","290"
"1254",519043,"Moore, Matt","1254","100.0","0.274","0.235","0.303","0.509","0.368","0.337","0.249","78","285","87.2","14.4","2178","88.5","88.21","130","598","656","-0.3","6.20","108","152","113","147","296","323","290"
"1249",643338,"Green, Chad","1249","100.0","0.194","0.194","0.230","0.387","0.262","0.270","0.206","55","284","88.5","24.6","2528","91.9","92.32","209","651","597","0.4","6.63","110","155","117","147","297","325","289"
"1240",500779,"Quintana, José","1240","100.0","0.286","0.197","0.378","0.483","0.366","0.342","0.253","74","259","90.0","12.2","1993","87.4","87.28","166","570","670","-0.1","6.51","111","154","117","150","304","324","298"
"1230",621052,"Reyes, Alex","1230","100.0","0.171","0.121","0.224","0.292","0.280","0.289","0.181","44","257","86.6","17.3","2365","91.8","90.68","188","539","691","-1.1","6.01","115","155","116","148","298","321","301"
"1226",594798,"deGrom, Jacob","1226","100.0","0.129","0.113","0.213","0.242","0.174","0.190","0.145","40","310","87.7","13.7","2408","95.9","97.09","283","683","543","1.2","6.90","118","155","114","151","299","326","300"
"1225",448855,"Guerra, Junior","1225","100.0","0.262","0.117","0.319","0.379","0.338","0.321","0.237","67","256","86.7","11.0","2092","88.4","88.29","144","531","694","-0.1","6.41","112","156","120","149","302","325","298"
"1211",656529,"Hentges, Sam","1211","100.0","0.315","0.178","0.383","0.493","0.376","0.356","0.267","85","270","88.9","11.0","2241","88.8","89.45","129","546","665","0.7","6.72","110","152","117","148","294","317","288"
"1208",606149,"Gallegos, Giovanny","1208","100.0","0.178","0.119","0.241","0.296","0.237","0.268","0.200","48","270","88.2","21.1","2382","90.3","89.17","218","623","585","-1.1","5.72","115","155","117","148","299","321","301"
"1207",518553,"Cishek, Steve","1207","100.0","0.242","0.081","0.307","0.323","0.301","0.292","0.209","60","248","84.8","9.0","2348","85.1","86.85","102","504","703","1.7","7.53","109","155","117","148","302","325","297"
"1199",605130,"Barlow, Scott","1199","100.0","0.225","0.109","0.318","0.333","0.279","0.281","0.211","60","267","88.2","14.5","2392","87.2","87.93","194","553","646","0.7","6.74","109","158","117","145","298","321","299"
"1188",476595,"Luetge, Lucas","1188","100.0","0.234","0.123","0.300","0.357","0.277","0.279","0.237","63","269","86.6","15.4","2627","84.7","84.48","165","599","589","-0.2","6.29","107","152","117","145","299","323","286"
